Facility Id,Hospital Name,Indicator Name,Year,Infections observed,Infections predicted,Denominator,Indicator value,Indicator Lower confidence limit,Indicator Upper confidence limit,Indicator units,Comparison results,Location 1
0,New York State - All Hospitals,SSI Hysterectomy,2012,318,,19142,1.66,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2012,1661,,,1,,,,,
0,New York State - All Hospitals,CDI Community Onset Not-My-Hospital,2013,7240,,2186447,0.33,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",,
0,New York State - All Hospitals,CDI Hospital Onset,2013,9350,,8295471,11.27,,,"# hospital onset cases per 10,000 patient days at risk, risk-adjusted",,
0,New York State - All Hospitals,CDI Possibly-My-Hospital Associated,2013,2579,,12235452,2.11,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",,
0,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2013,64,,76929,0.83,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Coronary ICU,2013,48,,49615,0.97,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical ICU,2013,127,,109100,1.16,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical Surgical ICU,2013,140,,152646,0.92,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2013,14,,5753,2.43,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2013,17,,15852,1.07,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2013,63,,56841,1.11,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neurosurgical ICU,2013,24,,22382,1.07,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2013,618,,,1,,,,,
0,New York State - All Hospitals,CLABSI Pediatric ICU,2013,42,,32171,1.31,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Surgical ICU,2013,79,,76706,1.03,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,SSI CABG chest site,2013,173,,10749,1.61,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI CABG donor site,2013,45,,9554,0.47,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Colon,2013,1227,,17772,6.9,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Hip,2013,273,,30433,0.9,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Hysterectomy,2013,298,,19175,1.55,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2013,2016,,,1,,,,,
0,New York State - All Hospitals,CDI Community Onset Not-My-Hospital,2014,7094,,2161999,0.33,,,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",,
0,New York State - All Hospitals,CDI Hospital Onset,2014,8890,,8405567,10.58,,,"# hospital onset cases per 10,000 patient days at risk, risk-adjusted",,
0,New York State - All Hospitals,CDI Possibly-My-Hospital Associated,2014,2353,,12300213,1.91,,,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",,
0,New York State - All Hospitals,CLABSI Cardiothoracic ICU,2014,44,,78416,0.56,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Coronary ICU,2014,42,,51979,0.81,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical ICU,2014,117,,110273,1.06,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Medical Surgical ICU,2014,128,,147714,0.87,,,# CLABSI per 1000 line days,,
5,St Peters Hospital,CLABSI Overall Standardized Infection Ratio,2013,4,6.18,,0.65,0.18,1.66,,Not significantly different than NYS 2013 average,"(42.65651, -73.804706)"
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 2/3,2014,11,,5248,2.1,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Level 3,2014,20,,15838,1.26,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neonatal ICU Regional Perinatal Center,2014,62,,60020,1.03,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Neurosurgical ICU,2014,18,,20848,0.86,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Overall Standardized Infection Ratio,2014,518,,,1,,,,,
0,New York State - All Hospitals,CLABSI Pediatric ICU,2014,20,,31099,0.64,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CLABSI Surgical ICU,2014,74,,77669,0.95,,,# CLABSI per 1000 line days,,
0,New York State - All Hospitals,CRE Admission Prevalence Rate- Bloodstream Infections,2014,123,,2385044,0.05,,,"# admission prevalent CRE BSIs per 1,0000 admissions",,
0,New York State - All Hospitals,CRE Admission Prevalence Rate- all body sites,2014,1346,,2385044,0.56,,,"# admission prevalent CRE infections per 1,0000 admissions",,
0,New York State - All Hospitals,CRE Hospital Onset Infection Rate- Bloodstream Infections,2014,249,,13166463,0.19,,,"# hospital onset blood stream CRE infections per 10,000 patient days",,
0,New York State - All Hospitals,CRE Hospital Onset Infection Rate- all body sites,2014,1345,,13166463,1.02,,,"# hospital onset CRE infections per 10,000 patient days",,
0,New York State - All Hospitals,SSI CABG chest site,2014,173,,10597,1.63,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI CABG donor site,2014,42,,9496,0.44,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Colon,2014,1256,,19093,6.58,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Hip,2014,301,,32134,0.94,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Hysterectomy,2014,258,,19212,1.34,,,"# SSI per 100 procedures, risk-adjusted",,
0,New York State - All Hospitals,SSI Overall Standardized Infection Ratio,2014,2030,,,1,,,,,
1,Albany Medical Center Hospital,CLABSI Cardiothoracic ICU,2008,7,4.11,2882,2.43,0.98,5,# CLABSI per 1000 line days,Not significantly different than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Coronary ICU,2008,1,5.19,2197,0.46,0.01,2.54,# CLABSI per 1000 line days,Not significantly different than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Medical ICU,2008,5,8.97,3321,1.51,0.49,3.51,# CLABSI per 1000 line days,Not significantly different than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Neonatal ICU Regional Perinatal Center,2008,5,13.62,5120,1.05,0.34,2.46,# CLABSI per 1000 line days,Significantly lower than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Neurosurgical ICU,2008,0,1.2,528,0,0,5.67,# CLABSI per 1000 line days,Not significantly different than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Overall Standardized Infection Ratio,2008,43,52.02,,0.83,0.6,1.11,,Not significantly different than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Pediatric ICU,2008,14,6.57,1972,7.1,3.88,11.91,# CLABSI per 1000 line days,Significantly higher than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Surgical ICU,2008,11,12.36,4448,2.47,1.23,4.42,# CLABSI per 1000 line days,Not significantly different than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI CABG chest site,2008,5,8.8,398,1.22,0.4,2.86,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI CABG donor site,2008,0,3.38,350,0,0,0.88,"# SSI per 100 procedures, risk-adjusted",Significantly lower than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Colon,2008,22,15.56,360,6.27,3.93,9.49,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Hip,2008,0,2.31,209,0,0,1.45,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Overall Standardized Infection Ratio,2008,27,30.05,,0.9,0.59,1.31,,Not significantly different than NYS 2008 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Cardiothoracic ICU,2009,4,3.55,2868,1.39,0.38,3.57,# CLABSI per 1000 line days,Not significantly different than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Coronary ICU,2009,1,4.09,2163,0.46,0.01,2.58,# CLABSI per 1000 line days,Not significantly different than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Medical ICU,2009,5,6.5,2821,1.77,0.58,4.14,# CLABSI per 1000 line days,Not significantly different than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Neonatal ICU Regional Perinatal Center,2009,1,11.58,6155,0.17,0,0.97,# CLABSI per 1000 line days,Significantly lower than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Neurosurgical ICU,2009,0,2.44,1148,0,0,2.61,# CLABSI per 1000 line days,Not significantly different than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Overall Standardized Infection Ratio,2009,16,41.53,,0.39,0.22,0.63,,Significantly lower than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Pediatric ICU,2009,0,4.58,2039,0,0,1.47,# CLABSI per 1000 line days,Significantly lower than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Surgical ICU,2009,5,8.79,4111,1.22,0.39,2.84,# CLABSI per 1000 line days,Not significantly different than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI CABG chest site,2009,7,8.7,367,1.82,0.73,3.75,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI CABG donor site,2009,1,2.94,340,0.3,0.01,1.67,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Colon,2009,20,17.89,379,5.44,3.32,8.39,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Hip,2009,1,3.19,270,0.36,0.01,1.99,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Overall Standardized Infection Ratio,2009,29,32.73,,0.89,0.59,1.27,,Not significantly different than NYS 2009 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CDI Community Onset Not-My-Hospital,2010,37,,29917,0.12,0.09,0.17,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CDI Hospital Onset,2010,91,122.2,114825,9.34,7.01,12.17,"# hospital onset cases per 10,000 patient days at risk, risk-adjusted",Significantly lower than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CDI Possibly-My-Hospital Associated,2010,24,,168962,1.42,0.09,0.21,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Cardiothoracic ICU,2010,0,2.97,2994,0,0,1,# CLABSI per 1000 line days,Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Coronary ICU,2010,2,4.04,2210,0.9,0.11,3.27,# CLABSI per 1000 line days,Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Medical ICU,2010,5,5.72,2952,1.69,0.55,3.95,# CLABSI per 1000 line days,Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
5,St Peters Hospital,SSI CABG chest site,2013,0,7.47,433,0,0,0.65,"# SSI per 100 procedures, risk-adjusted",Significantly lower than NYS 2013 average,"(42.65651, -73.804706)"
1,Albany Medical Center Hospital,CLABSI Neonatal ICU Regional Perinatal Center,2010,6,9.15,5727,1.1,0.4,2.39,# CLABSI per 1000 line days,Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Neurosurgical ICU,2010,0,2.53,1203,0,0,2.49,# CLABSI per 1000 line days,Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Overall Standardized Infection Ratio,2010,22,36.4,,0.6,0.38,0.92,,Significantly lower than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Pediatric ICU,2010,5,4.39,2122,2.36,0.77,5.5,# CLABSI per 1000 line days,Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Surgical ICU,2010,4,7.61,5053,0.79,0.22,2.03,# CLABSI per 1000 line days,Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI CABG chest site,2010,9,9.88,372,2.02,0.92,3.83,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI CABG donor site,2010,0,3.18,344,0,0,0.76,"# SSI per 100 procedures, risk-adjusted",Significantly lower than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Colon,2010,21,18.31,376,5.45,3.38,8.34,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Hip,2010,0,2.59,256,0,0,1.27,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI Overall Standardized Infection Ratio,2010,30,33.96,,0.88,0.6,1.26,,Not significantly different than NYS 2010 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CDI Community Onset Not-My-Hospital,2011,81,,31536,0.26,0.2,0.32,"# community onset not-my-hospital cases per 100 admissions, not risk-adjusted",Not compared,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CDI Hospital Onset,2011,147,117.32,116367,16.08,12.87,19.82,"# hospital onset cases per 10,000 patient days at risk, risk-adjusted",Significantly higher than NYS 2011 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CDI Possibly-My-Hospital Associated,2011,38,,173406,2.19,0.16,0.3,"# possibly-my-hospital cases per 10,000 patient days, not risk-adjusted",Not compared,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Cardiothoracic ICU,2011,1,3.02,3311,0.3,0.01,1.68,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Coronary ICU,2011,2,3.24,2278,0.88,0.11,3.17,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Medical ICU,2011,4,4.07,2720,1.47,0.4,3.77,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Neonatal ICU Regional Perinatal Center,2011,3,7.92,4440,0.68,0.14,1.98,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Neurosurgical ICU,2011,1,1.59,1211,0.83,0.02,4.6,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Overall Standardized Infection Ratio,2011,18,32.13,,0.56,0.33,0.89,,Significantly lower than NYS 2011 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Pediatric ICU,2011,2,4.73,2202,0.91,0.11,3.28,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,CLABSI Surgical ICU,2011,5,7.56,5429,0.92,0.3,2.15,# CLABSI per 1000 line days,Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
1,Albany Medical Center Hospital,SSI CABG chest site,2011,3,6.89,354,0.84,0.17,2.44,"# SSI per 100 procedures, risk-adjusted",Not significantly different than NYS 2011 average,"(42.653238, -73.773969)"
