Facility ID,Hospital Name,Detailed Region,Region,Procedure,Year of Hospital Discharge,Number of Cases,Number of Deaths,Observed Mortality Rate,Expected Mortality Rate,Risk-Adjusted Mortality Rate,Lower Limit of Confidence Interval,Upper Limit of Confidence Interval,Comparison Results
0599,Faxton - St. Lukes,Central NY,Central NY,All PCI,2010,286,5,1.75,0.71,2.08,0.67,4.85,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,All PCI,2010,229,1,0.44,0.63,0.59,0.01,3.26,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,637,9,1.41,0.99,1.20,0.55,2.27,Rate not different than Statewide Rate
0925,Good Sam - West Islip,NY Metro - Long Island,NY Metro - Long Island,All PCI,2010,683,5,0.73,0.54,1.14,0.37,2.67,Rate not different than Statewide Rate
0913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2010,114,1,0.88,1.71,0.43,0.01,2.39,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,All PCI,2010,193,5,2.59,2.43,0.90,0.29,2.09,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,All PCI,2010,2740,13,0.47,0.57,0.71,0.38,1.21,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,All PCI,2010,2019,13,0.64,0.65,0.84,0.44,1.43,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,All PCI,2010,333,6,1.80,1.11,1.36,0.50,2.96,Rate not different than Statewide Rate
0746,M I Bassett Hospital,Capital District,Capital District,All PCI,2010,371,7,1.89,0.92,1.72,0.69,3.54,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,All PCI,2010,1179,9,0.76,1.38,0.46,0.21,0.88,Rate not different than Statewide Rate
0213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,All PCI,2010,661,10,1.51,0.96,1.32,0.63,2.42,Rate not different than Statewide Rate
0215,Millard Fillmore Hosp,Western NY - Buffalo,Western NY - Buffalo,All PCI,2010,829,4,0.48,0.89,0.46,0.12,1.17,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,All PCI,2010,757,9,1.19,0.74,1.35,0.61,2.56,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,All PCI,2010,640,14,2.19,0.92,2.00,1.09,3.36,Rate significantly higher than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,All PCI,2010,4777,20,0.42,0.62,0.57,0.35,0.87,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,All PCI,2010,741,8,1.08,0.96,0.94,0.41,1.86,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,All PCI,2010,1453,10,0.69,0.69,0.84,0.40,1.55,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,All PCI,2010,2856,22,0.77,0.80,0.81,0.51,1.22,Rate not different than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,All PCI,2010,1346,15,1.11,1.19,0.79,0.44,1.30,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,All PCI,2010,1186,4,0.34,0.61,0.46,0.12,1.19,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2010,1850,8,0.43,0.83,0.44,0.19,0.86,Rate not different than Statewide Rate
0686,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,528,5,0.95,0.69,1.15,0.37,2.69,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2010,1899,23,1.21,0.84,1.21,0.77,1.82,Rate not different than Statewide Rate
0527,South Nassau Com. Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2010,462,2,0.43,1.03,0.35,0.04,1.28,Rate not different than Statewide Rate
0924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2010,497,3,0.60,0.53,0.96,0.19,2.80,Rate not different than Statewide Rate
0943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,All PCI,2010,236,1,0.42,0.93,0.38,0.00,2.12,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,All PCI,2010,1043,9,0.86,0.91,0.80,0.36,1.52,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,All PCI,2010,2936,20,0.68,0.77,0.74,0.45,1.15,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,All PCI,2010,2314,21,0.91,0.88,0.86,0.53,1.32,Rate not different than Statewide Rate
0694,St. Lukes Crnwll-Newbrg,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,347,2,0.58,0.90,0.54,0.06,1.94,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,All PCI,2010,548,7,1.28,0.94,1.14,0.46,2.34,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,All PCI,2010,733,6,0.82,0.91,0.75,0.28,1.64,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,All PCI,2010,1154,12,1.04,0.85,1.03,0.53,1.80,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,All PCI,2010,1005,10,1.00,1.05,0.80,0.38,1.47,Rate not different than Statewide Rate
0058,UHS - Wilson Med Ctr,Central NY,Central NY,All PCI,2010,713,7,0.98,1.13,0.73,0.29,1.51,Rate not different than Statewide Rate
0471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,All PCI,2010,363,3,0.83,1.06,0.65,0.13,1.91,Rate not different than Statewide Rate
1302,Univ. Brooklyn @ LICH,Kings,NY Metro - NYC,All PCI,2010,177,1,0.56,0.98,0.48,0.01,2.70,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,All PCI,2010,570,5,0.88,0.82,0.90,0.29,2.10,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,All PCI,2010,1762,22,1.25,1.13,0.93,0.58,1.41,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,All PCI,2010,236,7,2.97,0.97,2.56,1.03,5.28,Rate significantly higher than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,659,5,0.76,0.73,0.87,0.28,2.03,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,1025,6,0.59,0.95,0.52,0.19,1.13,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,All PCI,2010,130,4,3.08,1.21,2.13,0.57,5.46,Rate not different than Statewide Rate
0511,Winthrop Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,All PCI,2010,1120,7,0.63,0.90,0.59,0.23,1.21,Rate not different than Statewide Rate
0001,Albany Medical Center,Capital District,Capital District,Non-Emergency PCI,2010,1003,6,0.60,0.31,0.97,0.36,2.12,Rate not different than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2010,359,0,0.00,0.41,0.00,0.00,1.29,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,366,0,0.00,0.50,0.00,0.00,1.03,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,1659,6,0.36,0.47,0.40,0.14,0.86,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,Non-Emergency PCI,2010,5,0,0.00,0.45,0.00,0.00,82.45,Rate not different than Statewide Rate
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2010,276,6,2.17,0.90,1.23,0.45,2.68,Rate not different than Statewide Rate
0207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2010,1205,5,0.41,0.44,0.48,0.15,1.11,Rate not different than Statewide Rate
0977,Cayuga Med Ctr Ithaca,Central NY,Central NY,Non-Emergency PCI,2010,15,0,0.00,0.26,0.00,0.00,47.83,Rate not different than Statewide Rate
0135,Champ.Valley Phys Hosp,Capital District,Capital District,Non-Emergency PCI,2010,501,2,0.40,0.59,0.35,0.04,1.25,Rate not different than Statewide Rate
0636,Crouse Hospital,Central NY,Central NY,Non-Emergency PCI,2010,320,0,0.00,0.36,0.00,0.00,1.64,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,Non-Emergency PCI,2010,369,1,0.27,0.49,0.28,0.00,1.56,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2010,281,1,0.36,0.30,0.61,0.01,3.41,Rate not different than Statewide Rate
0210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2010,69,0,0.00,0.37,0.00,0.00,7.25,Rate not different than Statewide Rate
0599,Faxton - St. Lukes,Central NY,Central NY,Non-Emergency PCI,2010,250,4,1.60,0.46,1.79,0.48,4.58,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Non-Emergency PCI,2010,177,0,0.00,0.23,0.00,0.00,4.53,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2010,469,2,0.43,0.48,0.46,0.05,1.65,Rate not different than Statewide Rate
0925,Good Sam - West Islip,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,602,2,0.33,0.28,0.61,0.07,2.22,Rate not different than Statewide Rate
0913,Huntington Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,48,1,2.08,0.45,2.37,0.03,13.19,Rate not different than Statewide Rate
1629,Jamaica Hosp Med Ctr,Queens,NY Metro - NYC,Non-Emergency PCI,2010,37,0,0.00,0.65,0.00,0.00,7.77,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,2652,10,0.38,0.48,0.40,0.19,0.74,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,Non-Emergency PCI,2010,1840,10,0.54,0.44,0.63,0.30,1.16,Rate not different than Statewide Rate
1304,Lutheran Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2010,270,1,0.37,0.38,0.50,0.01,2.77,Rate not different than Statewide Rate
0746,M I Bassett Hospital,Capital District,Capital District,Non-Emergency PCI,2010,261,1,0.38,0.44,0.45,0.01,2.50,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,Non-Emergency PCI,2010,993,6,0.60,0.87,0.36,0.13,0.77,Rate not different than Statewide Rate
0213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2010,494,4,0.81,0.39,1.06,0.29,2.72,Rate not different than Statewide Rate
0215,Millard Fillmore Hosp,Western NY - Buffalo,Western NY - Buffalo,Non-Emergency PCI,2010,705,2,0.28,0.46,0.31,0.04,1.13,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,Non-Emergency PCI,2010,615,3,0.49,0.39,0.64,0.13,1.87,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,Non-Emergency PCI,2010,521,5,0.96,0.49,1.01,0.32,2.35,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,4685,17,0.36,0.51,0.36,0.21,0.58,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,Non-Emergency PCI,2010,605,5,0.83,0.52,0.81,0.26,1.89,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,Non-Emergency PCI,2010,1390,3,0.22,0.48,0.23,0.05,0.67,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,2697,17,0.63,0.59,0.55,0.32,0.88,Rate not different than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,1206,12,1.00,0.76,0.67,0.35,1.17,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,1128,2,0.18,0.43,0.21,0.02,0.76,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,1578,3,0.19,0.47,0.21,0.04,0.60,Rate not different than Statewide Rate
0686,Orange Regional Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2010,445,2,0.45,0.35,0.66,0.07,2.37,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2010,1640,16,0.98,0.65,0.77,0.44,1.25,Rate not different than Statewide Rate
0527,South Nassau Com. Hosp,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,369,2,0.54,0.64,0.43,0.05,1.57,Rate not different than Statewide Rate
0924,Southside Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,420,2,0.48,0.28,0.88,0.10,3.17,Rate not different than Statewide Rate
0943,St. Catherine of Siena,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,177,0,0.00,0.34,0.00,0.00,3.16,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,Non-Emergency PCI,2010,912,6,0.66,0.47,0.72,0.26,1.57,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,2765,16,0.58,0.61,0.48,0.28,0.79,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,Non-Emergency PCI,2010,1905,11,0.58,0.48,0.61,0.30,1.09,Rate not different than Statewide Rate
0694,St. Lukes Crnwll-Newbrg,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2010,287,1,0.35,0.65,0.27,0.00,1.52,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,Non-Emergency PCI,2010,472,2,0.42,0.46,0.47,0.05,1.70,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,Non-Emergency PCI,2010,539,4,0.74,0.48,0.79,0.21,2.03,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,Non-Emergency PCI,2010,997,7,0.70,0.49,0.73,0.29,1.51,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2010,725,3,0.41,0.44,0.48,0.10,1.40,Rate not different than Statewide Rate
0058,UHS - Wilson Med Ctr,Central NY,Central NY,Non-Emergency PCI,2010,560,2,0.36,0.51,0.36,0.04,1.29,Rate not different than Statewide Rate
0471,Unity Hospital,Western NY - Rochester,Western NY - Rochester,Non-Emergency PCI,2010,292,2,0.68,0.42,0.83,0.09,2.99,Rate not different than Statewide Rate
1302,Univ. Brooklyn @ LICH,Kings,NY Metro - NYC,Non-Emergency PCI,2010,136,0,0.00,0.33,0.00,0.00,4.19,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,Non-Emergency PCI,2010,491,1,0.20,0.45,0.23,0.00,1.30,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,1346,9,0.67,0.66,0.52,0.24,0.98,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,Non-Emergency PCI,2010,162,3,1.85,0.56,1.69,0.34,4.95,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2010,511,2,0.39,0.46,0.44,0.05,1.57,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2010,865,5,0.58,0.56,0.53,0.17,1.24,Rate not different than Statewide Rate
1045,White Plains Hospital,NY Metro - New Rochelle,NY Metro - New Rochelle,Non-Emergency PCI,2010,89,1,1.12,0.38,1.49,0.02,8.31,Rate not different than Statewide Rate
0511,Winthrop Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,Non-Emergency PCI,2010,993,5,0.50,0.59,0.44,0.14,1.02,Rate not different than Statewide Rate
0001,Albany Medical Center,Capital District,Capital District,CABG,2010,281,5,1.78,1.74,1.62,0.52,3.78,Rate not different than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,CABG,2010,88,1,1.14,1.16,1.54,0.02,8.60,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,CABG,2010,125,3,2.40,1.30,2.92,0.59,8.54,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,CABG,2010,198,2,1.01,1.05,1.52,0.17,5.48,Rate not different than Statewide Rate
0207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,CABG,2010,366,11,3.01,1.20,3.97,1.98,7.10,Rate significantly higher than Statewide Rate
0135,Champ.Valley Phys Hosp,Capital District,Capital District,CABG,2010,101,2,1.98,1.22,2.57,0.29,9.26,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,CABG,2010,193,3,1.55,1.54,1.60,0.32,4.67,Rate not different than Statewide Rate
0210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,CABG,2010,92,2,2.17,1.27,2.70,0.30,9.76,Rate not different than Statewide Rate
0779,Good Sam - Suffern,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2010,138,1,0.72,1.69,0.68,0.01,3.77,Rate not different than Statewide Rate
1450,Lenox Hill Hospital,Manhattan,NY Metro - NYC,CABG,2010,330,3,0.91,1.51,0.95,0.19,2.78,Rate not different than Statewide Rate
1630,Long Island Jewish MC,Queens,NY Metro - NYC,CABG,2010,168,0,0.00,1.36,0.00,0.00,2.53,Rate not different than Statewide Rate
0746,M I Bassett Hospital,Capital District,Capital District,CABG,2010,72,3,4.17,1.87,3.52,0.71,10.28,Rate not different than Statewide Rate
1305,Maimonides Medical Ctr,Kings,NY Metro - NYC,CABG,2010,263,7,2.66,1.69,2.49,1.00,5.14,Rate not different than Statewide Rate
0213,Mercy Hospital,Western NY - Buffalo,Western NY - Buffalo,CABG,2010,355,3,0.85,1.47,0.91,0.18,2.65,Rate not different than Statewide Rate
0215,Millard Fillmore Hosp,Western NY - Buffalo,Western NY - Buffalo,CABG,2010,242,1,0.41,1.43,0.46,0.01,2.55,Rate not different than Statewide Rate
1169,Montefiore - Moses,Bronx,NY Metro - NYC,CABG,2010,209,2,0.96,1.77,0.86,0.10,3.09,Rate not different than Statewide Rate
3058,Montefiore - Weiler,Bronx,NY Metro - NYC,CABG,2010,180,2,1.11,1.22,1.44,0.16,5.20,Rate not different than Statewide Rate
1456,Mount Sinai Hospital,Manhattan,NY Metro - NYC,CABG,2010,321,5,1.56,1.14,2.16,0.70,5.05,Rate not different than Statewide Rate
1637,NY Hospital - Queens,Queens,NY Metro - NYC,CABG,2010,118,1,0.85,1.60,0.84,0.01,4.65,Rate not different than Statewide Rate
1306,NY Methodist Hospital,Kings,NY Metro - NYC,CABG,2010,101,1,0.99,1.93,0.81,0.01,4.51,Rate not different than Statewide Rate
1464,NYP- Columbia Presby.,Manhattan,NY Metro - NYC,CABG,2010,310,11,3.55,1.61,3.48,1.73,6.22,Rate significantly higher than Statewide Rate
1458,NYP- Weill Cornell,Manhattan,NY Metro - NYC,CABG,2010,183,0,0.00,1.66,0.00,0.00,1.91,Rate not different than Statewide Rate
1463,NYU Hospitals Center,Manhattan,NY Metro - NYC,CABG,2010,136,1,0.74,1.13,1.03,0.01,5.72,Rate not different than Statewide Rate
0541,North Shore Univ Hosp,NY Metro - Long Island,NY Metro - Long Island,CABG,2010,466,7,1.50,1.96,1.21,0.49,2.50,Rate not different than Statewide Rate
0411,Rochester General Hosp,Western NY - Rochester,Western NY - Rochester,CABG,2010,367,9,2.45,1.93,2.01,0.92,3.82,Rate not different than Statewide Rate
0598,St. Elizabeth Med Ctr,Central NY,Central NY,CABG,2010,227,6,2.64,1.76,2.38,0.87,5.18,Rate not different than Statewide Rate
0563,St. Francis Hospital,NY Metro - Long Island,NY Metro - Long Island,CABG,2010,868,16,1.84,1.59,1.83,1.05,2.98,Rate not different than Statewide Rate
0630,St. Josephs Hospital,Central NY,Central NY,CABG,2010,506,7,1.38,1.73,1.26,0.51,2.61,Rate not different than Statewide Rate
1469,St. Lukes at St. Lukes,Manhattan,NY Metro - NYC,CABG,2010,102,2,1.96,2.09,1.49,0.17,5.37,Rate not different than Statewide Rate
0005,St. Peters Hospital,Capital District,Capital District,CABG,2010,323,4,1.24,1.32,1.48,0.40,3.80,Rate not different than Statewide Rate
1740,Staten Island Univ Hosp,Staten Island,NY Metro - NYC,CABG,2010,309,6,1.94,1.66,1.85,0.68,4.03,Rate not different than Statewide Rate
0413,Strong Memorial Hosp,Western NY - Rochester,Western NY - Rochester,CABG,2010,316,6,1.90,1.39,2.16,0.79,4.70,Rate not different than Statewide Rate
0058,UHS - Wilson Med Ctr,Central NY,Central NY,CABG,2010,205,3,1.46,1.64,1.41,0.28,4.12,Rate not different than Statewide Rate
1320,Univ. Hosp-Brooklyn,Kings,NY Metro - NYC,CABG,2010,46,0,0.00,1.61,0.00,0.00,7.85,Rate not different than Statewide Rate
0245,Univ. Hosp-Stony Brook,NY Metro - Long Island,NY Metro - Long Island,CABG,2010,261,3,1.15,1.77,1.02,0.21,2.99,Rate not different than Statewide Rate
0635,Univ. Hosp-Upstate,Central NY,Central NY,CABG,2010,133,1,0.75,1.70,0.70,0.01,3.90,Rate not different than Statewide Rate
0181,Vassar Bros. Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2010,200,2,1.00,1.74,0.91,0.10,3.28,Rate not different than Statewide Rate
1139,Westchester Med Ctr,NY Metro - New Rochelle,NY Metro - New Rochelle,CABG,2010,288,3,1.04,2.05,0.80,0.16,2.35,Rate not different than Statewide Rate
0511,Winthrop Univ. Hosp,NY Metro - Long Island,NY Metro - Long Island,CABG,2010,234,4,1.71,1.52,1.78,0.48,4.57,Rate not different than Statewide Rate
0001,Albany Medical Center,Capital District,Capital District,Emergency PCI,2008-2010,449,14,3.12,2.52,3.93,2.15,6.59,Rate not different than Statewide Rate
0116,Arnot Ogden Med Ctr,Western NY - Rochester,Western NY - Rochester,Emergency PCI,2008-2010,337,9,2.67,2.43,3.49,1.59,6.62,Rate not different than Statewide Rate
1438,Bellevue Hospital Ctr,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,198,16,8.08,4.97,5.16,2.95,8.38,Rate not different than Statewide Rate
1439,Beth Israel Med Ctr,Manhattan,NY Metro - NYC,Emergency PCI,2008-2010,271,12,4.43,3.80,3.70,1.91,6.46,Rate not different than Statewide Rate
1178,Bronx-Lebanon-Cncourse,Bronx,NY Metro - NYC,Emergency PCI,2008-2010,103,7,6.80,3.15,6.84,2.74,14.09,Rate not different than Statewide Rate
1286,Brookdale Hosp Med Ctr,Kings,NY Metro - NYC,Emergency PCI,2008-2010,162,13,8.02,3.20,7.97,4.24,13.63,Rate significantly higher than Statewide Rate
0207,Buffalo General Hosp,Western NY - Buffalo,Western NY - Buffalo,Emergency PCI,2008-2010,363,9,2.48,2.67,2.95,1.34,5.59,Rate not different than Statewide Rate
0977,Cayuga Med Ctr Ithaca,Central NY,Central NY,Emergency PCI,2008-2010,4,0,0.00,4.55,0.00,0.00,63.93,Rate not different than Statewide Rate
0135,Champ.Valley Phys Hosp,Capital District,Capital District,Emergency PCI,2008-2010,335,5,1.49,2.88,1.64,0.53,3.83,Rate not different than Statewide Rate
0636,Crouse Hospital,Central NY,Central NY,Emergency PCI,2008-2010,212,8,3.77,3.29,3.63,1.56,7.16,Rate not different than Statewide Rate
0829,Ellis Hospital,Capital District,Capital District,Emergency PCI,2008-2010,505,12,2.38,2.84,2.65,1.37,4.64,Rate not different than Statewide Rate
1626,Elmhurst Hospital Ctr,Queens,NY Metro - NYC,Emergency PCI,2008-2010,345,5,1.45,2.72,1.69,0.55,3.95,Rate not different than Statewide Rate
0210,Erie County Med Ctr,Western NY - Buffalo,Western NY - Buffalo,Emergency PCI,2008-2010,231,11,4.76,3.33,4.54,2.26,8.13,Rate not different than Statewide Rate
0599,Faxton - St. Lukes,Central NY,Central NY,Emergency PCI,2008-2010,99,4,4.04,2.44,5.25,1.41,13.43,Rate not different than Statewide Rate
1005,Glens Falls Hospital,Capital District,Capital District,Emergency PCI,2008-2010,202,7,3.47,2.87,3.83,1.54,7.90,Rate not different than Statewide Rate
